product.sku,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id
6174_14,17314.9606299,1.5,27,21990,1,1
6174_15,17314.9606299,1.5,27,21990,0,1
6174_16,17314.9606299,1.5,27,21990,0,1
6174_17,17314.9606299,1.5,27,21990,0,1
6178_01,4716.53543307,1.5,27,5990,71,1
6185_01,5503.93700787,1.5,27,6990,0,1
6186_01,5503.93700787,1.5,27,6990,0,1
6186_02,5503.93700787,1.5,27,6990,1,1
6188_01,5503.93700787,1.5,27,6990,1,1
6192_01,14165.3543307,1.5,27,17990,0,1
6196_01,15740.1574803,1.5,27,19990,0,1
6252_01,12590.5511811,1.5,27,15990,1,1
6252_02,12590.5511811,1.5,27,15990,1,1
6294_01,2354.33070866,1.5,27,2990,0,1
6339_01,15740.1574803,1.5,27,19990,0,1
6362_01,6291.33858268,1.5,27,7990,0,1
6362_02,6291.33858268,1.5,27,7990,0,1
6364_01,7866.14173228,1.5,27,9990,1,1
6365_01,6291.33858268,1.5,27,7990,1,1
6365_02,6291.33858268,1.5,27,7990,0,1
6366_01,14165.3543307,1.5,27,17990,0,1
6390_01,6291.33858268,1.5,27,7990,0,1
6394_01,5503.93700787,1.5,27,6990,0,1
6395_01,5503.93700787,1.5,27,6990,1,1
6396_01,6291.33858268,1.5,27,7990,0,1
6400_01,17314.9606299,1.5,27,21990,0,1
6415_01,5503.93700787,1.5,27,6990,0,1
6423_01,6291.33858268,1.5,27,7990,0,1
6424_01,5503.93700787,1.5,27,6990,0,1
6425_01,5503.93700787,1.5,27,6990,0,1
6425_02,5503.93700787,1.5,27,6990,0,1
6428_01,6291.33858268,1.5,27,7990,0,1
6433_01,5503.93700787,1.5,27,6990,0,1
6433_02,5503.93700787,1.5,27,6990,0,1
